node_id:ID,name
a415,"Willson, Thomas E."
a416,"Appleton, Victor"
a417,"Le Feuvre, Amy"
a418,"Scott, Walter"
a419,"Altsheler, Joseph A. (Joseph Alexander)"
a420,"Litchfield, Grace Denio"
a421,"Sterne, Laurence"
a422,"Eastman, Mary H. (Mary Henderson)"
a423,"Home, Gordon"
a424,"Bolles, John R. (John Rogers)"
a425,"Wharton, Philip"
a426,"Cobb, Irvin S. (Irvin Shrewsbury)"
a427,"Richardson, Samuel"
a428,"Swift, Jonathan"
a429,"Burton, Robert"
a430,"Coleridge, Samuel Taylor"
a431,"Haywood, Eliza Fowler"
a432,"Daggett, David"
a433,"Dunsany, Lord"
a434,"Consumers' League of New York City"
a435,"University of Oxford. Faculty of Modern History"
a436,"Gogol, Nikolai Vasilevich"
a437,"Cozzens, Samuel Woodworth"
a438,"Christian Brothers"
a439,"Boyd, A. S. (Alexander Stuart)"
a440,"Olmsted, Everett Ward"
a441,"Richardson, James D. (James Daniel)"
a442,"Crowquill, Alfred"
a443,"Sinclair, May"
a444,"Inglis, James"
a445,"Bishop, Nathaniel H. (Nathaniel Holmes)"
a446,"Thomson, Ninian Hill"
a447,"Livy"
a448,"Thwaites, William H."
a449,"Wilder, Sampson Vryling Stoddard"
a450,"Griggs, Edward Howard"
a451,"Johnson, James"
a452,"First Presbyterian Church (Marion, Ohio). Ladies' Aid Society"
a453,"Favenc, Ernest"
a454,"Kitson, Arthur"
a455,"Yerkes, Robert Mearns"
a456,"Wise, Thomas A. (Thomas Alfred)"
a457,"Farrar, F. W. (Frederic William)"
a458,"Vale, Ferna"
a459,"Lamb, Charles"
a460,"Webster, Angus Duncan"
a461,"Teachers of the School Street Universalist Sunday School. Boston"
a462,"Wallace, Alfred Russel"
a463,"Griffiths, Charles John"
a464,"Cox, James"
a465,"Williams, Helen Maria"
a466,"Beesly, A. H. (Augustus Henry)"
a467,"Leighton, John"
a468,"Dwyer, James Francis"
a469,"Fellowes, W. D. (William Dorset)"
a470,"Emmerich, Anna Katharina"
a471,"Archer, William"
a472,"Rolland, Romain"
a473,"Camp, Wadsworth"
a474,"Roth, Lewis"
a475,"Burgess, Gelett"
a476,"Staley, Edgcumbe"
a477,"Riley, Harvey"
a478,"Seton, Ernest Thompson"
a479,"Benson, E. F. (Edward Frederic)"
a480,"Cassius Dio Cocceianus"
a481,"Smiles, Samuel"
a482,"Whicher, George Frisbie"
a483,"Young, Egerton Ryerson"
a484,"Haggard, H. Rider (Henry Rider)"
a485,"Davies, Ebenezer"
a486,"Douglas, O."
a487,"Millay, Edna St. Vincent"
a488,"Donnell, Annie Hamilton"
a489,"Jenness, Theodora R. (Theodora Robinson)"
a490,"Standish, Burt L."
a491,"Braddon, M. E. (Mary Elizabeth)"
a492,"United States. War Department"
a493,"Hawks, Francis L. (Francis Lister)"
a494,"Hall, Mosiah"
a495,"Green, Horace"
a496,"Taylor, Bayard"
a497,"Sunity Devee, Maharani of Cooch Behar"
a498,"Ballantyne, R. M. (Robert Michael)"
a499,"Palmer, Frederick"
a500,"Lagerlöf, Selma"
a501,"Burnham, Margaret"
a502,"Power, P. (Patrick)"
a503,"Reinach, Salomon"
a504,"Dyce, Alexander"
a505,"Jacob, P. L."
a506,"White, Stewart Edward"
a507,"Futrelle, Jacques"
a508,"Aytoun, William Edmondstoune"
a509,"Hill, Samuel Charles"
a510,"Hale, Edward Everett"
a511,"Sanday, W. (William)"
a512,"Morley, John"
a513,"Hughes, Rupert"
