node_id:ID,name
508,"Aytoun, William Edmondstoune"
509,"Hill, Samuel Charles"
510,"Hale, Edward Everett"
511,"Sanday, W. (William)"
512,"Morley, John"
513,"Hughes, Rupert"
514,"Lincoln, Jeanie Gould"
515,"Glyn, Elinor"
516,"Frank, Tenney"
517,"Lambert Chambers, Mrs."
518,"Aitken, Edward Hamilton"
519,"Carrington, Charles"
520,"Kreisler, Fritz"
521,"Woodson, Carter Godwin"
522,"Furse, Katharine"
523,"Schiller, F. C. S. (Ferdinand Canning Scott)"
524,"Ward, John"
525,"De Windt, Harry"
526,"Burt, Katharine Newlin"
527,"Tarkington, Booth"
528,"McCarthy, Justin"
529,"Worster, W. J. Alexander (William John Alexander)"
530,"Wilderspin, Samuel"
531,"Chesnutt, Charles W. (Charles Waddell)"
532,"Moore, Frederick Ferdinand"
533,"Jones, Edgar R. (Edgar Rees), Sir"
534,"Leighton, Robert"
535,"Abbott, Jacob"
536,"Kidder, Daniel P. (Daniel Parish)"
537,"Osborne, David, Mrs. (Fanny)"
538,"Bourne, John, C.E."
539,"Banerjea, S. B."
540,"Carroll, Lewis"
541,"Wetterau, John Moncure"
542,"Burritt, Elihu"
543,"Ruhl, Arthur"
544,"Foster, William Z."
545,"Addison, Joseph"
546,"Aldrich, Mildred"
547,"Johnson, James Weldon"
548,"Smith, Elva Sophronia"
549,"Picton, J. Allanson (James Allanson)"
550,"Williamson, A. M. (Alice Muriel)"
551,"Morse, Samuel Finley Breese"
552,"Morse, Edward Lind"
553,"Davis, Richard Harding"
554,"Housman, Laurence"
555,"Gruelle, Johnny"
556,"Foster, Frances Smith"
557,"Millington, W. H."
558,"Brinton, Daniel G. (Daniel Garrison)"
559,"Stephen, Leslie"
560,"Leighton, Alexander"
561,"Trusta, H."
562,"Pfeiffer, Ida"
563,"Barbour, Ralph Henry"
564,"Cohen, Octavus Roy"
565,"Fénelon, François de Salignac de La Mothe-"
566,"Machen, Arthur"
567,"Cyr, Ellen M."
568,"Wharton, Edith"
569,"Harper, Frances Ellen Watkins"
570,"Cheever, Harriet A. (Harriet Anna)"
571,"Henty, G. A. (George Alfred)"
572,"Allston, Washington"
573,"Allinson, A. R. (Alfred Richard)"
574,"Porterfield, Allen Wilson"
575,"Mill, Mrs. (Jean Oliver)"
576,"Hazlitt, William"
577,"Tooker, Harriet H."
578,"Doctorow, Cory"
579,"Quigley, Dorothy"
580,"Nevinson, Henry Woodd"
581,"Ainsworth, William Harrison"
582,"Stuart, Ruth McEnery"
583,"Whyte-Melville, G. J. (George John)"
584,"Souttar, Henry Sessions"
585,"Ainger, Alfred"
586,"Hartness, James"
587,"Stoddard, John L. (John Lawson)"
588,"Bonte, Willard"
589,"Ramakrishna Pillai, T. (Thottakadu)"
590,"Fenn, George Manville"
591,"Corner, Miss (Julia)"
592,"Stratton-Porter, Gene"
593,"Falckenberg, Richard"
594,"Johnson, Edward A. (Edward Austin)"
595,"Woodworth, Francis C. (Francis Channing)"
596,"Malan, César"
597,"Marchant, Bessie"
598,"Cairns, John"
599,"Knevels, Gertrude"
600,"Schoolcraft, Henry Rowe"
601,"Tuthill, Cornelia L. (Cornelia Louisa)"
602,"Edgeworth, Maria"
603,"Martin, Benj. N. (Benjamin Nicholas)"
604,"Francke, Kuno"
605,"Terry, Jean F. (Jean Finlay)"
606,"Rinehart, Mary Roberts"
607,"Rousseau, Jean-Jacques"
608,"Steward, Austin"
609,"Nye, Bill"
610,"Whitney, A. D. T. (Adeline Dutton Train)"
611,"Tarrant, W. G. (William George)"
612,"Porter, Eleanor H. (Eleanor Hodgman)"
613,"Langford, Nathaniel Pitt"
614,"Houghton, Eliza Poor Donner"
615,"Livermore, Edward"
616,"Ellis, Edward Sylvester"
617,"Hornung, E. W. (Ernest William)"
618,"Gibbs, J. Arthur (Joseph Arthur)"
619,"Webster, Henry Kitchell"
620,"Macaulay, Rose"
621,"Bannerman, Helen"
622,"Maggard, James H."
623,"Chalmers, Margaret Piper"
624,"Sheldon, Lurana"
625,"Kincaid, C. A. (Charles Augustus)"
626,"O'Clery, Michael"
627,"Drinkwater, John"
628,"Baldwin, James"
629,"Betham, Matilda"
630,"Cooke, Marjorie Benton"
631,"Becker, Carl Heinrich"
632,"McGowan, Richard"
633,"Bénézet, Louis Paul"
634,"King, Philip Parker"
635,"Reeks, H. Caulton (Harry Caulton)"
636,"Lauder, Harry, Sir"
637,"Curtis, William Eleroy"
638,"Kelly, Sophia"
639,"Gent, Thomas"
640,"Price, Edith Ballinger"
641,"Fisher, Dorothy Canfield"
642,"Sinclair, Bertrand W."
643,"Poston, Charles D. (Charles Debrille)"
644,"Williams, George Alfred"
645,"Bairnsfather, Bruce"
646,"Pinchot, Gifford"
647,"Defoe, Daniel"
648,"Johnston, William"
649,"Hardley, Robert"
650,"Swedenborg, Emanuel"
651,"Cody, Sherwin"
652,"Sylvester, Charles Herbert"
653,"Johnson, R. Brimley (Reginald Brimley)"
654,"Morrison, Arthur"
655,"Doddridge, Philip"
656,"Parnell, Thomas"
657,"United States. Work Projects Administration"
658,"Fowler, W. Warde (William Warde)"
659,"Dowd, Emma C."
660,"Gregory, William Robert"
661,"Vaknin, Samuel"
